datalab,locKo,match,note
서울특별시,서울,prefix,광역시·특별시는 자치구를 구분하지 않고 한 덩어리로 쓴다
부산광역시,부산,prefix,
대구광역시,대구,prefix,
인천광역시,인천,prefix,
광주광역시,광주,prefix,
대전광역시,대전,prefix,
울산광역시,울산,prefix,
세종특별자치시,세종,prefix,
제주특별자치도,제주,prefix,앱은 제주시·서귀포시를 '제주' 하나로 쓴다
경기도 광주시,경기광주,exact,광주광역시와 이름이 겹쳐 앱이 '경기광주'로 구분한다
강원특별자치도 고성군,고성(강원),exact,경상남도 고성군과 이름이 겹친다
강원도 고성군,고성(강원),exact,강원특별자치도 이전 표기
경기도,경기,exact,광역도가 시군 없이 내려올 때만. 앱 locKo에는 없는 단위다
강원도,강원,exact,
강원특별자치도,강원,exact,
충청남도,충남,exact,
충청북도,충북,exact,
전라남도,전남,exact,
전라북도,전북,exact,
전북특별자치도,전북,exact,
경상남도,경남,exact,
경상북도,경북,exact,
